system_id,case_id,family,baseline_exact_match,candidate_exact_match,delta_exact_match,baseline_failure_mode,candidate_failure_mode,baseline_executable_match,candidate_executable_match,delta_executable_match,baseline_actual_call_count,candidate_actual_call_count,delta_actual_call_count,label
mlx_gemma4_e2b_reasoner_only,visual_callout_warning_with_user_decoy,visual_argument_copying,True,True,0,exact,exact,True,True,0,1,1,0,contracted
mlx_gemma4_e2b_reasoner_only,visual_form_error_vs_message_author,visual_argument_copying,True,True,0,exact,exact,True,True,0,1,1,0,contracted
mlx_gemma4_e2b_reasoner_only,visual_form_error_with_prior_selection_decoy,visual_tool_routing,True,True,0,exact,exact,True,True,0,1,1,0,contracted
mlx_gemma4_e2b_reasoner_only,visual_latest_filter_existing_selection,visual_referent_carryover,True,True,0,exact,exact,True,True,0,1,1,0,contracted
mlx_gemma4_e2b_reasoner_only,visual_metric_panel_vs_table_selector,visual_argument_copying,True,True,0,exact,exact,True,True,0,1,1,0,contracted
mlx_gemma4_e2b_reasoner_only,visual_region_readback_after_layout_result,visual_region_readback,True,True,0,exact,exact,True,True,0,1,1,0,contracted
mlx_gemma4_e2b_reasoner_only,visual_remaining_filter_existing_selection,visual_referent_carryover,True,True,0,exact,exact,True,True,0,1,1,0,contracted
mlx_gemma4_e2b_reasoner_only,visual_selection_id_opaque_copy_with_filter,visual_referent_carryover,True,True,0,exact,exact,True,True,0,1,1,0,contracted
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,visual_callout_warning_with_user_decoy,visual_argument_copying,True,False,-1,exact,no_tool_call,True,False,-1,1,0,-1,no directive
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,visual_form_error_vs_message_author,visual_argument_copying,True,True,0,exact,exact,True,True,0,1,1,0,no directive
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,visual_form_error_with_prior_selection_decoy,visual_tool_routing,True,False,-1,exact,argument_mismatch,True,False,-1,1,1,0,no directive
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,visual_latest_filter_existing_selection,visual_referent_carryover,True,False,-1,exact,no_tool_call,True,False,-1,1,0,-1,no directive
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,visual_metric_panel_vs_table_selector,visual_argument_copying,True,False,-1,exact,argument_mismatch,True,False,-1,1,1,0,no directive
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,visual_region_readback_after_layout_result,visual_region_readback,True,False,-1,exact,no_tool_call,True,False,-1,1,0,-1,no directive
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,visual_remaining_filter_existing_selection,visual_referent_carryover,True,False,-1,exact,wrong_tool,True,False,-1,1,1,0,no directive
mlx_gemma4_e2b_reasoner_only_no_tool_turn_directive,visual_selection_id_opaque_copy_with_filter,visual_referent_carryover,True,False,-1,exact,no_tool_call,True,False,-1,1,0,-1,no directive
